dc:identifier,dc:name,ayto:url_imagen,dc:description,ayto:descrip_es,ayto:descrip_en,ayto:direccion,ayto:telefono,ayto:email,ayto:website,ayto:blog,ayto:facebook,ayto:twitter,ayto:googlePlus,ayto:instagram,ayto:longitud,ayto:latitud,ayto:id_categoria,ayto:categoria,ayto:ico_categoria,ayto:accesible,ayto:fecha_modificacion,dc:modified,uri
BAR3000,Bambara Tavern,https://farm6.staticflickr.com/5602/15642475390_eca59276ce.jpg,"En un entorno rocoso\, que ofrece tranquilidad\, un arenal y pequeñas calas","La playa Virgen del Mar es una de las playas más bonitas de Santander\, principalmente por el entorno que la rodea.  Está situada en un enclave único a tan solo 6 km del centro de Santander.  Es una playa aislada\, en un entorno rocoso\, que ofrece tranquilidad\, un arenal y pequeñas calas.\nEs precisamente allí\, a sus orillas\, donde se encuentra Bambara Tavern\,  una taberna irlandesa con temática africana\, que tiene sus inicios a principios del 2009. Su nombre\, Bambara\, proviene de un dialecto afric",,Av Virgen del Mar,0,,http://bambaratavern.com/,http://bambaratavern.com/category/actualidad/,https://www.facebook.com/bambaratavern,,,," -3.877516581192026",43.47680000380586,4," Bares",http://static.freepik.com/foto-gratis/alimentos-japon_318-30812.png,0,2015-06-12T13:25:04.000Z,2017-10-31T15:02:07.596Z,http://datos.santander.es/api/datos/establecimientos_hosteleros/bar3000.csv
BAR2998,Cafe Bar Bahía,http://ar.smartsantander.eu/butler/server/photos/notavailable.gif,Cervezas copas y musica rock en buen hambiente,Cervezas copas y musica rock en buen hambiente,,Marqués de la Hermida 44,0,,,,https://www.facebook.com/cafebarbahia666,,,," -3.819816900863657",43.45369626992304,4," Bares",http://static.freepik.com/foto-gratis/alimentos-japon_318-30812.png,0,2015-07-17T10:11:51.000Z,2017-10-31T15:02:07.596Z,http://datos.santander.es/api/datos/establecimientos_hosteleros/bar2998.csv
BAR2997,Cervecería Ateka,https://farm8.staticflickr.com/7538/15803607146_58d085bf87.jpg,"La Cervecería Ateka\, en Monte\, dispone de menú diario y de fin de semana además de una completa carta con raciones\, platos combinados\, sándwiches\, etc.","La Cervecería Ateka\, en Monte\, cuenta con un salón con capacidad para 42 comensales\, donde poder degustar los menús diarios y de fin de semana y su amplia carta compuesta de ensaladas\, tablas\, sándwiches\, hamburguesas\, raciones\, platos combinados\, carnes y pescados. ","Cervecería Ateka in Monte has a dining room for 42 people to enjoy the daily special menu and special weekend menu as well as a large menu formed by different salads\, platter of cold meats\, rations\, combined dishes\, sandwiches\, meats and fishes etc.",Calle Repuente n°13,942340105,info@cerveceriaateka.com,http://www.cerveceriaateka.com/,http://cerveceriaateka.com/blog/,https://www.facebook.com/tucerveceriateka,,,,-3.8274385453017885,43.46960988353664,4," Bares",http://static.freepik.com/foto-gratis/alimentos-japon_318-30812.png,0,2015-08-07T11:00:08.000Z,2017-10-31T15:02:07.596Z,http://datos.santander.es/api/datos/establecimientos_hosteleros/bar2997.csv
BAR2996,Asubio Gastrobar-Restaurante,http://lira.tlmat.unican.es/RASan/butler/server/photos/2996.jpg,"Asubio Gastrobar es un establecimiento que ofrece platos clásicos actualizados. Ubicado en el centro\, cuenta con gastrobar con barra y mesas altas además de restaurante en la planta superior. ","Asubio Gastrobar es un establecimiento que ofrece platos clásicos actualizados\, con  materias primas  de Cantabria.\n\nDispone de barra con 25 pinchos calientes que se preparan al instante en cocina y otros 20 pinchos fríos que se regeneran al momento. \n\nAdemás hay 25 platos de picoteo que se sirven en ración o media ración.\n\nAsubio Gastrobar acerca la alta cocina sirviendo cocina tradicional puesta al día.\n\nLos postres son artesanos\, de elaboración propia y con mucha raíz cántabra pues predominan los lácteos\, licores y compotas regionales.\n\nCuenta con más de veinte Denominaciones de Origen nacionales y diez internacionales. Además de otros tipos de cerveza nacional\, importación y artesana junto con media docena de cócteles de autor elaborados con cava\, cerveza\, vermut\, vinos\, refrescos y zumos de frutas naturales.\n\nAsubio Gastrobar se encuentra en el centro de Santander\, próxima a la plaza de Cañadío.\n\nEl restaurante se encuentra en la planta superior.","Asubio Gastrobar es un establecimiento que ofrece platos clásicos actualizados with raw products from Cantabria.\n\nIt has a bar showing a range of different snacks 25  hot and 20 cold that are continuously being refilled.\n\nFurthermore\, there are 25 different dishes either for nibbling or to be served as rations or half rations.\n\nAsubio Gastrobar approaches the haute cuisine serving the traditional with an innovative touch.\n\nThey serve home-made artisan desserts with typical from Cantabria since they use dairy products\, liquors and compotes from the region.\n\nIts wine cellar has more than 20 national and 10 imported Designations of Origin\, besides a wide range of national\, imported and artisan beer\, half dozen types of cocktails of author made out of cava\, vermouth\, soft drinks and natural juices.\n\nAsubio Gastrobar is placed in the centre of Santander\, near Cañadío Square.\n\nThe restaurant is in the upper floor. \n",Calle Daoiz y Velarde nº 2,942035238,info@asubiogastrobar.com,http://asubiogastrobar.com,http://asubiogastrobar.com/blog/,https://www.facebook.com/pages/Asubio-Gastrobar-Restaurante/172295379465634,,,,-3.8033708021292796,43.46308698111698,4," Bares",http://static.freepik.com/foto-gratis/alimentos-japon_318-30812.png,0,2015-08-07T11:27:46.000Z,2017-10-31T15:02:07.596Z,http://datos.santander.es/api/datos/establecimientos_hosteleros/bar2996.csv
BAR2994,Bar Astorga,http://ar.smartsantander.eu/butler/server/photos/notavailable.gif,,,,Calle Canalejas 71,942271065,,,,,,,," -3.7893148199462985",43.46533100302359,4," Bares",http://static.freepik.com/foto-gratis/alimentos-japon_318-30812.png,0,2015-08-12T07:28:03.000Z,2017-10-31T15:02:07.596Z,http://datos.santander.es/api/datos/establecimientos_hosteleros/bar2994.csv
BAR2992,Restaurante Arrabal Once,http://lira.tlmat.unican.es/RASan/butler/server/photos/2992.jpg,"Restaurante con bar de tapas situado en el centro de Santander\, en calle peatonal.\nDispone de varias mesas junto a la barra en las que se sirven raciones.","Restaurante con bar de tapas situado en la calle Arrabal 11\, en el centro de Santander.\n\nTras una barra larga se sitúan unas mesas en donde se sirven raciones.","Restaurant with ""tapas bar"" placed in Arrabal 11 Street in the centre of Santander.\n\nAt the end of a very long bar there are some tables to serve rations to customers.",Calle Arrabal nº11,942074362,,,,https://www.facebook.com/Arrabal11Santander,,,https://instagram.com/lamalinche_arrabal11/,-3.80475211300552,43.46319762674768,4," Bares",http://static.freepik.com/foto-gratis/alimentos-japon_318-30812.png,0,2015-08-06T11:58:45.000Z,2017-10-31T15:02:07.596Z,http://datos.santander.es/api/datos/establecimientos_hosteleros/bar2992.csv
BAR2988,Bar Anticuario,http://ar.smartsantander.eu/butler/server/photos/notavailable.gif,"En pleno centro de Santander\, nos sorprende un bar con mucho encanto","En pleno centro de Santander\, nos sorprende un bar con mucho encanto situado en la calle Peñas Redondas\, una callecita empedrada que se convierte en punto de encuentro y se llena de bullicio en las horas del vermouth o cuando empieza a atardecer.\nEl motivo de este fluir de gente está en el bar Anticuario. En sus paredes y techos encontramos objetos extravagantes\, antiguos y curiosos que hacen honor a su nombre y le dotan de ese aire acogedor y único. En la calle\, la terraza nos permite disfrutar",,Calle Peñas Redondas,0,,,,https://www.facebook.com/Elanticuariosantander,,,," -3.8167860046768283",43.46214608111415,4," Bares",http://static.freepik.com/foto-gratis/alimentos-japon_318-30812.png,0,2015-07-17T10:04:06.000Z,2017-10-31T15:02:07.596Z,http://datos.santander.es/api/datos/establecimientos_hosteleros/bar2988.csv
BAR2982,Bar Amaro,http://ar.smartsantander.eu/butler/server/photos/notavailable.gif,Abierto todos los dias de 10 d la mañana a las 24.00hs,servicio a domicilio\nzona wifi\npartidos d futbol,,"Calle Montejurra\, 22",942,,,,https://www.facebook.com/pages/BAR-AMARO-II,,,," -3.8274665609741305",43.45927249902991,4," Bares",http://static.freepik.com/foto-gratis/alimentos-japon_318-30812.png,0,2015-07-17T10:03:57.000Z,2017-10-31T15:02:07.596Z,http://datos.santander.es/api/datos/establecimientos_hosteleros/bar2982.csv
BAR2981,Cafe Bar La Alquitara,https://farm8.staticflickr.com/7510/15824009271_6a8dc6ed8f.jpg,,,,"Calle San José\, 12 ",942,,,,https://www.facebook.com/pages/cafe-bar-la-alquitara,,https://plus.google.com/114725007939570748836/about?gl=es&hl=es,," -3.806330753936777",43.46328301626136,4," Bares",http://static.freepik.com/foto-gratis/alimentos-japon_318-30812.png,0,2015-06-12T13:25:14.000Z,2017-10-31T15:02:07.596Z,http://datos.santander.es/api/datos/establecimientos_hosteleros/bar2981.csv
BAR2975,Pub La Escondida,http://ar.smartsantander.eu/butler/server/photos/notavailable.gif,,,,San Pedro del Mar 94,942101078," ",,,,,,," -3.8302346006774997",43.471015165460784,4," Bares",http://static.freepik.com/foto-gratis/alimentos-japon_318-30812.png,0,2015-07-29T07:20:31.000Z,2017-10-31T15:02:07.596Z,http://datos.santander.es/api/datos/establecimientos_hosteleros/bar2975.csv
